State,Year,Average_Price,Price_Unit
AL,2017,15.97,Dollars per million Btu
AL,2016,14.81,Dollars per million Btu
AL,2015,15.68,Dollars per million Btu
AL,2014,18.62,Dollars per million Btu
AL,2013,18.89,Dollars per million Btu
AL,2012,19.86,Dollars per million Btu
AL,2011,20.06,Dollars per million Btu
AL,2010,17.8,Dollars per million Btu
AL,2009,16.55,Dollars per million Btu
AL,2008,19.22,Dollars per million Btu
AL,2007,16.06,Dollars per million Btu
AL,2006,14.96,Dollars per million Btu
AL,2005,13.56,Dollars per million Btu
AL,2004,11.27,Dollars per million Btu
AL,2003,9.98,Dollars per million Btu
AL,2002,9.16,Dollars per million Btu
AL,2001,9.45,Dollars per million Btu
AL,2000,8.78,Dollars per million Btu
AL,1999,7.58,Dollars per million Btu
AL,1998,7.33,Dollars per million Btu
AL,1997,7.52,Dollars per million Btu
AL,1996,7.28,Dollars per million Btu
AL,1995,6.96,Dollars per million Btu
AL,1994,7.09,Dollars per million Btu
AL,1993,7.36,Dollars per million Btu
AL,1992,7.24,Dollars per million Btu
AL,1991,7.49,Dollars per million Btu
AL,1990,7.56,Dollars per million Btu
AL,1989,6.99,Dollars per million Btu
AL,1988,6.84,Dollars per million Btu
AL,1987,7.04,Dollars per million Btu
AL,1986,7.07,Dollars per million Btu
AL,1985,7.68,Dollars per million Btu
AL,1984,7.79,Dollars per million Btu
AL,1983,7.9,Dollars per million Btu
AL,1982,7.91,Dollars per million Btu
AL,1981,7.43,Dollars per million Btu
AL,1980,6.29,Dollars per million Btu
AL,1979,4.9,Dollars per million Btu
AL,1978,3.99,Dollars per million Btu
AL,1977,3.76,Dollars per million Btu
AL,1976,3.21,Dollars per million Btu
AL,1975,2.83,Dollars per million Btu
AL,1974,2.5,Dollars per million Btu
AL,1973,1.84,Dollars per million Btu
AL,1972,1.61,Dollars per million Btu
AL,1971,1.51,Dollars per million Btu
AL,1970,1.37,Dollars per million Btu
AK,2017,18.74,Dollars per million Btu
AK,2016,16.63,Dollars per million Btu
AK,2015,18.82,Dollars per million Btu
AK,2014,24.83,Dollars per million Btu
AK,2013,24.92,Dollars per million Btu
AK,2012,25.44,Dollars per million Btu
AK,2011,25.13,Dollars per million Btu
AK,2010,20.37,Dollars per million Btu
AK,2009,18.22,Dollars per million Btu
AK,2008,23.91,Dollars per million Btu
AK,2007,17.94,Dollars per million Btu
AK,2006,16.61,Dollars per million Btu
AK,2005,13.99,Dollars per million Btu
AK,2004,11.07,Dollars per million Btu
AK,2003,9.08,Dollars per million Btu
AK,2002,7.78,Dollars per million Btu
AK,2001,8.18,Dollars per million Btu
AK,2000,8.03,Dollars per million Btu
AK,1999,6.17,Dollars per million Btu
AK,1998,5.8,Dollars per million Btu
AK,1997,6.74,Dollars per million Btu
AK,1996,6.75,Dollars per million Btu
AK,1995,6.41,Dollars per million Btu
AK,1994,6.37,Dollars per million Btu
AK,1993,6.45,Dollars per million Btu
AK,1992,6.23,Dollars per million Btu
AK,1991,6.31,Dollars per million Btu
AK,1990,6.88,Dollars per million Btu
AK,1989,6.12,Dollars per million Btu
AK,1988,5.46,Dollars per million Btu
AK,1987,5.06,Dollars per million Btu
AK,1986,4.97,Dollars per million Btu
AK,1985,5.94,Dollars per million Btu
AK,1984,6.11,Dollars per million Btu
AK,1983,5.98,Dollars per million Btu
AK,1982,6,Dollars per million Btu
AK,1981,6.38,Dollars per million Btu
AK,1980,5.04,Dollars per million Btu
AK,1979,3.58,Dollars per million Btu
AK,1978,3.08,Dollars per million Btu
AK,1977,3.07,Dollars per million Btu
AK,1976,2.93,Dollars per million Btu
AK,1975,2.69,Dollars per million Btu
AK,1974,2.46,Dollars per million Btu
AK,1973,1.68,Dollars per million Btu
AK,1972,1.55,Dollars per million Btu
AK,1971,1.46,Dollars per million Btu
AK,1970,1.39,Dollars per million Btu
AZ,2017,22.34,Dollars per million Btu
AZ,2016,20.65,Dollars per million Btu
AZ,2015,22.47,Dollars per million Btu
AZ,2014,25.77,Dollars per million Btu
AZ,2013,25.89,Dollars per million Btu
AZ,2012,26.19,Dollars per million Btu
AZ,2011,25.37,Dollars per million Btu
AZ,2010,22.32,Dollars per million Btu
AZ,2009,20.14,Dollars per million Btu
AZ,2008,23.95,Dollars per million Btu
AZ,2007,20.87,Dollars per million Btu
AZ,2006,19.7,Dollars per million Btu
AZ,2005,17.87,Dollars per million Btu
AZ,2004,15.36,Dollars per million Btu
AZ,2003,13.86,Dollars per million Btu
AZ,2002,12.39,Dollars per million Btu
AZ,2001,12.82,Dollars per million Btu
AZ,2000,12.94,Dollars per million Btu
AZ,1999,11.24,Dollars per million Btu
