State,Year,resident_population,Pop_Unit
AL,2017,4875,Thousand
AL,2016,4865,Thousand
AL,2015,4853,Thousand
AL,2014,4842,Thousand
AL,2013,4830,Thousand
AL,2012,4816,Thousand
AL,2011,4799,Thousand
AL,2010,4785,Thousand
AL,2009,4758,Thousand
AL,2008,4718,Thousand
AL,2007,4673,Thousand
AL,2006,4629,Thousand
AL,2005,4570,Thousand
AL,2004,4531,Thousand
AL,2003,4503,Thousand
AL,2002,4480,Thousand
AL,2001,4468,Thousand
AL,2000,4452,Thousand
AL,1999,4430,Thousand
AL,1998,4405,Thousand
AL,1997,4368,Thousand
AL,1996,4331,Thousand
AL,1995,4297,Thousand
AL,1994,4260,Thousand
AL,1993,4214,Thousand
AL,1992,4154,Thousand
AL,1991,4099,Thousand
AL,1990,4050,Thousand
AL,1989,4030,Thousand
AL,1988,4024,Thousand
AL,1987,4015,Thousand
AL,1986,3992,Thousand
AL,1985,3973,Thousand
AL,1984,3952,Thousand
AL,1983,3934,Thousand
AL,1982,3925,Thousand
AL,1981,3919,Thousand
AL,1980,3900,Thousand
AL,1979,3866,Thousand
AL,1978,3832,Thousand
AL,1977,3780,Thousand
AL,1976,3735,Thousand
AL,1975,3679,Thousand
AL,1974,3626,Thousand
AL,1973,3580,Thousand
AL,1972,3539,Thousand
AL,1971,3497,Thousand
AL,1970,3451,Thousand
AL,1969,3440,Thousand
AL,1968,3446,Thousand
AL,1967,3458,Thousand
AL,1966,3464,Thousand
AL,1965,3443,Thousand
AL,1964,3395,Thousand
AL,1963,3358,Thousand
AL,1962,3323,Thousand
AL,1961,3316,Thousand
AL,1960,3274,Thousand
AK,2017,740,Thousand
AK,2016,742,Thousand
AK,2015,738,Thousand
AK,2014,736,Thousand
AK,2013,737,Thousand
AK,2012,730,Thousand
AK,2011,722,Thousand
AK,2010,714,Thousand
AK,2009,699,Thousand
AK,2008,687,Thousand
AK,2007,680,Thousand
AK,2006,675,Thousand
AK,2005,667,Thousand
AK,2004,659,Thousand
AK,2003,648,Thousand
AK,2002,642,Thousand
AK,2001,634,Thousand
AK,2000,628,Thousand
AK,1999,625,Thousand
AK,1998,620,Thousand
AK,1997,613,Thousand
AK,1996,609,Thousand
AK,1995,604,Thousand
AK,1994,603,Thousand
AK,1993,599,Thousand
AK,1992,589,Thousand
AK,1991,570,Thousand
AK,1990,553,Thousand
AK,1989,547,Thousand
AK,1988,542,Thousand
AK,1987,539,Thousand
AK,1986,544,Thousand
AK,1985,532,Thousand
AK,1984,514,Thousand
AK,1983,488,Thousand
AK,1982,450,Thousand
AK,1981,418,Thousand
AK,1980,405,Thousand
AK,1979,403,Thousand
AK,1978,405,Thousand
AK,1977,403,Thousand
AK,1976,401,Thousand
AK,1975,376,Thousand
AK,1974,341,Thousand
AK,1973,331,Thousand
AK,1972,324,Thousand
AK,1971,316,Thousand
AK,1970,304,Thousand
AK,1969,296,Thousand
AK,1968,285,Thousand
AK,1967,278,Thousand
AK,1966,271,Thousand
AK,1965,271,Thousand
AK,1964,263,Thousand
AK,1963,256,Thousand
AK,1962,246,Thousand
AK,1961,238,Thousand
AK,1960,229,Thousand
AZ,2017,7049,Thousand
AZ,2016,6945,Thousand
AZ,2015,6834,Thousand
AZ,2014,6734,Thousand
AZ,2013,6635,Thousand
AZ,2012,6557,Thousand
AZ,2011,6473,Thousand
AZ,2010,6408,Thousand
AZ,2009,6343,Thousand
AZ,2008,6280,Thousand
AZ,2007,6168,Thousand
AZ,2006,6029,Thousand
AZ,2005,5839,Thousand
AZ,2004,5652,Thousand
AZ,2003,5510,Thousand
AZ,2002,5396,Thousand
AZ,2001,5273,Thousand
AZ,2000,5161,Thousand
AZ,1999,5024,Thousand
AZ,1998,4883,Thousand
AZ,1997,4737,Thousand
AZ,1996,4587,Thousand
AZ,1995,4432,Thousand
AZ,1994,4245,Thousand
AZ,1993,4065,Thousand
AZ,1992,3916,Thousand
AZ,1991,3789,Thousand
AZ,1990,3684,Thousand
AZ,1989,3622,Thousand
AZ,1988,3535,Thousand
AZ,1987,3437,Thousand
AZ,1986,3308,Thousand
AZ,1985,3184,Thousand
AZ,1984,3067,Thousand
AZ,1983,2969,Thousand
AZ,1982,2890,Thousand
AZ,1981,2810,Thousand
AZ,1980,2738,Thousand
AZ,1979,2636,Thousand
AZ,1978,2515,Thousand
AZ,1977,2425,Thousand
AZ,1976,2346,Thousand
AZ,1975,2285,Thousand
AZ,1974,2223,Thousand
AZ,1973,2124,Thousand
AZ,1972,2008,Thousand
AZ,1971,1896,Thousand
AZ,1970,1792,Thousand
AZ,1969,1737,Thousand
AZ,1968,1682,Thousand
AZ,1967,1646,Thousand
AZ,1966,1614,Thousand
AZ,1965,1584,Thousand
AZ,1964,1556,Thousand
AZ,1963,1521,Thousand
AZ,1962,1471,Thousand
AZ,1961,1407,Thousand
AZ,1960,1321,Thousand
AR,2017,3003,Thousand
AR,2016,2990,Thousand
AR,2015,2978,Thousand
AR,2014,2968,Thousand
AR,2013,2960,Thousand
AR,2012,2952,Thousand
AR,2011,2940,Thousand
AR,2010,2922,Thousand
AR,2009,2897,Thousand
AR,2008,2875,Thousand
AR,2007,2849,Thousand
AR,2006,2822,Thousand
AR,2005,2781,Thousand
AR,2004,2750,Thousand
AR,2003,2725,Thousand
AR,2002,2706,Thousand
AR,2001,2692,Thousand
AR,2000,2679,Thousand
AR,1999,2652,Thousand
AR,1998,2626,Thousand
AR,1997,2601,Thousand
AR,1996,2572,Thousand
AR,1995,2535,Thousand
AR,1994,2494,Thousand
AR,1993,2456,Thousand
AR,1992,2416,Thousand
AR,1991,2383,Thousand
AR,1990,2357,Thousand
AR,1989,2346,Thousand
AR,1988,2343,Thousand
AR,1987,2342,Thousand
AR,1986,2332,Thousand
AR,1985,2327,Thousand
AR,1984,2320,Thousand
AR,1983,2306,Thousand
AR,1982,2294,Thousand
AR,1981,2293,Thousand
AR,1980,2289,Thousand
AR,1979,2271,Thousand
AR,1978,2243,Thousand
AR,1977,2209,Thousand
AR,1976,2170,Thousand
AR,1975,2160,Thousand
AR,1974,2101,Thousand
AR,1973,2059,Thousand
AR,1972,2019,Thousand
AR,1971,1972,Thousand
AR,1970,1932,Thousand
AR,1969,1913,Thousand
AR,1968,1902,Thousand
AR,1967,1901,Thousand
AR,1966,1899,Thousand
AR,1965,1894,Thousand
AR,1964,1897,Thousand
AR,1963,1875,Thousand
AR,1962,1853,Thousand
AR,1961,1806,Thousand
AR,1960,1789,Thousand
CA,2017,39399,Thousand
CA,2016,39209,Thousand
