State,Year,Total_co2_emission,CO2_Unit,Average_Price,Price_Unit,resident_population,Pop_Unit,Total_energy,ENERGY_Unit,Total_renewable_energy,Renew_Unit
AL,2016,115.088298,million metric tons CO2,14.81,Dollars per million Btu,4865,Thousand,1124482,Billion Btu,235494,Billion Btu
AL,2015,120.142812,million metric tons CO2,15.68,Dollars per million Btu,4853,Thousand,1269743,Billion Btu,261340,Billion Btu
AL,2014,123.16180200000001,million metric tons CO2,18.62,Dollars per million Btu,4842,Thousand,1367345,Billion Btu,268551,Billion Btu
AL,2013,120.90851699999999,million metric tons CO2,18.89,Dollars per million Btu,4830,Thousand,1478402,Billion Btu,310608,Billion Btu
AL,2012,123.201027,million metric tons CO2,19.86,Dollars per million Btu,4816,Thousand,1443558,Billion Btu,241822,Billion Btu
AL,2011,129.930038,million metric tons CO2,20.06,Dollars per million Btu,4799,Thousand,1410745,Billion Btu,254867,Billion Btu
AL,2010,132.767419,million metric tons CO2,17.8,Dollars per million Btu,4785,Thousand,1429505,Billion Btu,240913,Billion Btu
AL,2009,120.100202,million metric tons CO2,16.55,Dollars per million Btu,4758,Thousand,1449253,Billion Btu,264487,Billion Btu
AL,2008,139.628142,million metric tons CO2,19.22,Dollars per million Btu,4718,Thousand,1482792,Billion Btu,233379,Billion Btu
AL,2007,147.430252,million metric tons CO2,16.06,Dollars per million Btu,4673,Thousand,1408105,Billion Btu,228160,Billion Btu
AL,2006,145.782018,million metric tons CO2,14.96,Dollars per million Btu,4629,Thousand,1413493,Billion Btu,266153,Billion Btu
AL,2005,143.332446,million metric tons CO2,13.56,Dollars per million Btu,4570,Thousand,1502435,Billion Btu,279600,Billion Btu
AL,2004,141.664798,million metric tons CO2,11.27,Dollars per million Btu,4531,Thousand,1544007,Billion Btu,290697,Billion Btu
AL,2003,139.358938,million metric tons CO2,9.98,Dollars per million Btu,4503,Thousand,1521048,Billion Btu,283428,Billion Btu
AL,2002,138.490682,million metric tons CO2,9.16,Dollars per million Btu,4480,Thousand,1486477,Billion Btu,252689,Billion Btu
AL,2001,133.630128,million metric tons CO2,9.45,Dollars per million Btu,4468,Thousand,1484590,Billion Btu,251523,Billion Btu
AL,2000,142.242532,million metric tons CO2,8.78,Dollars per million Btu,4452,Thousand,1539601,Billion Btu,263303,Billion Btu
AL,1999,136.12251799999999,million metric tons CO2,7.58,Dollars per million Btu,4430,Thousand,1578642,Billion Btu,290195,Billion Btu
AL,1998,133.741224,million metric tons CO2,7.33,Dollars per million Btu,4405,Thousand,1672363,Billion Btu,317065,Billion Btu
AL,1997,134.474292,million metric tons CO2,7.52,Dollars per million Btu,4368,Thousand,1708520,Billion Btu,299675,Billion Btu
AK,2016,34.909446,million metric tons CO2,16.63,Dollars per million Btu,742,Thousand,1433116,Billion Btu,19428,Billion Btu
AK,2015,36.232439,million metric tons CO2,18.82,Dollars per million Btu,738,Thousand,1424762,Billion Btu,19209,Billion Btu
AK,2014,35.339307,million metric tons CO2,24.83,Dollars per million Btu,736,Thousand,1474609,Billion Btu,19826,Billion Btu
AK,2013,36.179221999999996,million metric tons CO2,24.92,Dollars per million Btu,737,Thousand,1513406,Billion Btu,18664,Billion Btu
AK,2012,38.235964,million metric tons CO2,25.44,Dollars per million Btu,730,Thousand,1563461,Billion Btu,17719,Billion Btu
AK,2011,38.793915000000005,million metric tons CO2,25.13,Dollars per million Btu,722,Thousand,1642015,Billion Btu,15762,Billion Btu
AK,2010,38.924046999999995,million metric tons CO2,20.37,Dollars per million Btu,714,Thousand,1738219,Billion Btu,16537,Billion Btu
AK,2009,38.003626000000004,million metric tons CO2,18.22,Dollars per million Btu,699,Thousand,1853317,Billion Btu,15685,Billion Btu
AK,2008,39.635789,million metric tons CO2,23.91,Dollars per million Btu,687,Thousand,1932755,Billion Btu,12913,Billion Btu
AK,2007,44.227313,million metric tons CO2,17.94,Dollars per million Btu,680,Thousand,2051639,Billion Btu,14037,Billion Btu
AK,2006,45.93318,million metric tons CO2,16.61,Dollars per million Btu,675,Thousand,2100329,Billion Btu,13298,Billion Btu
AK,2005,48.215328,million metric tons CO2,13.99,Dollars per million Btu,667,Thousand,2415039,Billion Btu,15866,Billion Btu
AK,2004,46.857059,million metric tons CO2,11.07,Dollars per million Btu,659,Thousand,2512619,Billion Btu,18416,Billion Btu
AK,2003,43.731458,million metric tons CO2,9.08,Dollars per million Btu,648,Thousand,2660210,Billion Btu,19374,Billion Btu
AK,2002,43.65497,million metric tons CO2,7.78,Dollars per million Btu,642,Thousand,2658368,Billion Btu,17922,Billion Btu
AK,2001,43.503252,million metric tons CO2,8.18,Dollars per million Btu,634,Thousand,2630790,Billion Btu,16974,Billion Btu
AK,2000,44.395047999999996,million metric tons CO2,8.03,Dollars per million Btu,628,Thousand,2645900,Billion Btu,12204,Billion Btu
AK,1999,43.723639,million metric tons CO2,6.17,Dollars per million Btu,625,Thousand,2797459,Billion Btu,10212,Billion Btu
AK,1998,43.170970000000004,million metric tons CO2,5.8,Dollars per million Btu,620,Thousand,3067133,Billion Btu,13291,Billion Btu
AK,1997,42.064116,million metric tons CO2,6.74,Dollars per million Btu,613,Thousand,3331780,Billion Btu,14994,Billion Btu
AZ,2016,87.00595,million metric tons CO2,20.65,Dollars per million Btu,6945,Thousand,593132,Billion Btu,130858,Billion Btu
AZ,2015,90.94595699999999,million metric tons CO2,22.47,Dollars per million Btu,6834,Thousand,614524,Billion Btu,120715,Billion Btu
AZ,2014,93.16856800000001,million metric tons CO2,25.77,Dollars per million Btu,6734,Thousand,631852,Billion Btu,114133,Billion Btu
AZ,2013,95.18765400000001,million metric tons CO2,25.89,Dollars per million Btu,6635,Thousand,591410,Billion Btu,98874,Billion Btu
AZ,2012,91.36344799999999,million metric tons CO2,26.19,Dollars per million Btu,6557,Thousand,594938,Billion Btu,93042,Billion Btu
AZ,2011,93.383383,million metric tons CO2,25.37,Dollars per million Btu,6473,Thousand,615323,Billion Btu,105082,Billion Btu
AZ,2010,95.311563,million metric tons CO2,22.32,Dollars per million Btu,6408,Thousand,579778,Billion Btu,77419,Billion Btu
AZ,2009,93.398881,million metric tons CO2,20.14,Dollars per million Btu,6343,Thousand,563061,Billion Btu,73117,Billion Btu
AZ,2008,102.248473,million metric tons CO2,23.95,Dollars per million Btu,6280,Thousand,576899,Billion Btu,88850,Billion Btu
AZ,2007,101.875063,million metric tons CO2,20.87,Dollars per million Btu,6168,Thousand,538976,Billion Btu,79355,Billion Btu
AZ,2006,99.921111,million metric tons CO2,19.7,Dollars per million Btu,6029,Thousand,511638,Billion Btu,80772,Billion Btu
AZ,2005,96.681039,million metric tons CO2,17.87,Dollars per million Btu,5839,Thousand,611615,Billion Btu,78333,Billion Btu
AZ,2004,96.607118,million metric tons CO2,15.36,Dollars per million Btu,5652,Thousand,653416,Billion Btu,81376,Billion Btu
AZ,2003,89.612158,million metric tons CO2,13.86,Dollars per million Btu,5510,Thousand,643921,Billion Btu,83079,Billion Btu
AZ,2002,87.75969,million metric tons CO2,12.39,Dollars per million Btu,5396,Thousand,689876,Billion Btu,86880,Billion Btu
AZ,2001,88.42714000000001,million metric tons CO2,12.82,Dollars per million Btu,5273,Thousand,684436,Billion Btu,90513,Billion Btu
AZ,2000,86.069526,million metric tons CO2,12.94,Dollars per million Btu,5161,Thousand,705102,Billion Btu,100776,Billion Btu
AZ,1999,80.359788,million metric tons CO2,11.24,Dollars per million Btu,5024,Thousand,691730,Billion Btu,114876,Billion Btu
AZ,1998,76.541775,million metric tons CO2,10.83,Dollars per million Btu,4883,Thousand,693182,Billion Btu,126648,Billion Btu
AZ,1997,71.578088,million metric tons CO2,11.76,Dollars per million Btu,4737,Thousand,706668,Billion Btu,141607,Billion Btu
AR,2016,62.410796999999995,million metric tons CO2,14.6,Dollars per million Btu,2990,Thousand,1130117,Billion Btu,117959,Billion Btu
AR,2015,59.252207999999996,million metric tons CO2,15.87,Dollars per million Btu,2978,Thousand,1319553,Billion Btu,115780,Billion Btu
AR,2014,69.00182099999999,million metric tons CO2,18.86,Dollars per million Btu,2968,Thousand,1440726,Billion Btu,116541,Billion Btu
AR,2013,68.435171,million metric tons CO2,19.29,Dollars per million Btu,2960,Thousand,1434515,Billion Btu,116746,Billion Btu
AR,2012,66.01208000000001,million metric tons CO2,19.82,Dollars per million Btu,2952,Thousand,1466389,Billion Btu,111220,Billion Btu
AR,2011,67.25714599999999,million metric tons CO2,19.59,Dollars per million Btu,2940,Thousand,1385343,Billion Btu,119758,Billion Btu
AR,2010,65.808178,million metric tons CO2,16.86,Dollars per million Btu,2922,Thousand,1250560,Billion Btu,123317,Billion Btu
AR,2009,61.473387,million metric tons CO2,15.64,Dollars per million Btu,2897,Thousand,1007445,Billion Btu,124205,Billion Btu
AR,2008,64.14265400000001,million metric tons CO2,19.96,Dollars per million Btu,2875,Thousand,761611,Billion Btu,123354,Billion Btu
AR,2007,63.292592000000006,million metric tons CO2,16.68,Dollars per million Btu,2849,Thousand,593930,Billion Btu,120733,Billion Btu
AR,2006,61.958302,million metric tons CO2,15.78,Dollars per million Btu,2822,Thousand,572694,Billion Btu,99990,Billion Btu
AR,2005,60.081058999999996,million metric tons CO2,14.46,Dollars per million Btu,2781,Thousand,484786,Billion Btu,112451,Billion Btu
AR,2004,62.345544,million metric tons CO2,11.96,Dollars per million Btu,2750,Thousand,503242,Billion Btu,112915,Billion Btu
AR,2003,61.988775,million metric tons CO2,10.23,Dollars per million Btu,2725,Thousand,478389,Billion Btu,107905,Billion Btu
AR,2002,61.297214000000004,million metric tons CO2,9.39,Dollars per million Btu,2706,Thousand,469275,Billion Btu,108618,Billion Btu
AR,2001,62.78051899999999,million metric tons CO2,10.2,Dollars per million Btu,2692,Thousand,462934,Billion Btu,94001,Billion Btu
AR,2000,63.60156,million metric tons CO2,9.47,Dollars per million Btu,2679,Thousand,447405,Billion Btu,108634,Billion Btu
AR,1999,63.108538,million metric tons CO2,7.9,Dollars per million Btu,2652,Thousand,461717,Billion Btu,110822,Billion Btu
AR,1998,60.920671,million metric tons CO2,7.71,Dollars per million Btu,2626,Thousand,492864,Billion Btu,114927,Billion Btu
AR,1997,59.51574599999999,million metric tons CO2,8.24,Dollars per million Btu,2601,Thousand,534963,Billion Btu,124045,Billion Btu
CA,2016,361.354016,million metric tons CO2,19.9,Dollars per million Btu,39209,Thousand,2431124,Billion Btu,903915,Billion Btu
CA,2015,360.786696,million metric tons CO2,21.88,Dollars per million Btu,38953,Thousand,2361858,Billion Btu,719166,Billion Btu
CA,2014,352.942992,million metric tons CO2,25.51,Dollars per million Btu,38625,Thousand,2383159,Billion Btu,721739,Billion Btu
CA,2013,355.993407,million metric tons CO2,25.08,Dollars per million Btu,38281,Thousand,2372246,Billion Btu,719604,Billion Btu
