State,Year,Total_energy,ENERGY_Unit
AL,2016,1124482,Billion Btu
AL,2015,1269743,Billion Btu
AL,2014,1367345,Billion Btu
AL,2013,1478402,Billion Btu
AL,2012,1443558,Billion Btu
AL,2011,1410745,Billion Btu
AL,2010,1429505,Billion Btu
AL,2009,1449253,Billion Btu
AL,2008,1482792,Billion Btu
AL,2007,1408105,Billion Btu
AL,2006,1413493,Billion Btu
AL,2005,1502435,Billion Btu
AL,2004,1544007,Billion Btu
AL,2003,1521048,Billion Btu
AL,2002,1486477,Billion Btu
AL,2001,1484590,Billion Btu
AL,2000,1539601,Billion Btu
AL,1999,1578642,Billion Btu
AL,1998,1672363,Billion Btu
AL,1997,1708520,Billion Btu
AL,1996,1740273,Billion Btu
AL,1995,1649515,Billion Btu
AL,1994,1637594,Billion Btu
AL,1993,1484437,Billion Btu
AL,1992,1485033,Billion Btu
AL,1991,1376322,Billion Btu
AL,1990,1342218,Billion Btu
AL,1989,1360335,Billion Btu
AL,1988,1262666,Billion Btu
AL,1987,1223311,Billion Btu
AL,1986,1212158,Billion Btu
AL,1985,1321089,Billion Btu
AL,1984,1436061,Billion Btu
AL,1983,1344208,Billion Btu
AL,1982,1420985,Billion Btu
AL,1981,1276911,Billion Btu
AL,1980,1332560,Billion Btu
AL,1979,1218930,Billion Btu
AL,1978,1096730,Billion Btu
AL,1977,1056925,Billion Btu
AL,1976,845043,Billion Btu
AL,1975,867574,Billion Btu
AL,1974,807086,Billion Btu
AL,1973,718203,Billion Btu
AL,1972,736780,Billion Btu
AL,1971,644204,Billion Btu
AL,1970,679425,Billion Btu
AL,1969,604556,Billion Btu
AL,1968,577176,Billion Btu
AL,1967,566875,Billion Btu
AL,1966,516645,Billion Btu
AL,1965,532433,Billion Btu
AL,1964,541265,Billion Btu
AL,1963,469030,Billion Btu
AL,1962,484726,Billion Btu
AL,1961,474779,Billion Btu
AL,1960,474229,Billion Btu
AK,2016,1433116,Billion Btu
AK,2015,1424762,Billion Btu
AK,2014,1474609,Billion Btu
AK,2013,1513406,Billion Btu
AK,2012,1563461,Billion Btu
AK,2011,1642015,Billion Btu
