State,Year,Total_co2_emission,CO2_Unit
AL,2016,115.088298,million metric tons CO2
AL,2015,120.142812,million metric tons CO2
AL,2014,123.161802,million metric tons CO2
AL,2013,120.908517,million metric tons CO2
AL,2012,123.201027,million metric tons CO2
AL,2011,129.930038,million metric tons CO2
AL,2010,132.767419,million metric tons CO2
AL,2009,120.100202,million metric tons CO2
AL,2008,139.628142,million metric tons CO2
AL,2007,147.430252,million metric tons CO2
AL,2006,145.782018,million metric tons CO2
AL,2005,143.332446,million metric tons CO2
AL,2004,141.664798,million metric tons CO2
AL,2003,139.358938,million metric tons CO2
AL,2002,138.490682,million metric tons CO2
AL,2001,133.630128,million metric tons CO2
AL,2000,142.242532,million metric tons CO2
AL,1999,136.122518,million metric tons CO2
AL,1998,133.741224,million metric tons CO2
AL,1997,134.474292,million metric tons CO2
AL,1996,137.576151,million metric tons CO2
AL,1995,131.569883,million metric tons CO2
AL,1994,123.842036,million metric tons CO2
AL,1993,125.803445,million metric tons CO2
AL,1992,120.935042,million metric tons CO2
AL,1991,114.252069,million metric tons CO2
AL,1990,109.960946,million metric tons CO2
AL,1989,110.071681,million metric tons CO2
AL,1988,104.613623,million metric tons CO2
AL,1987,103.247542,million metric tons CO2
AL,1986,101.305673,million metric tons CO2
AL,1985,100.906704,million metric tons CO2
AL,1984,94.674537,million metric tons CO2
AL,1983,89.55813,million metric tons CO2
AL,1982,90.38386,million metric tons CO2
AL,1981,102.809002,million metric tons CO2
AL,1980,106.72826,million metric tons CO2
AK,2016,115.088298,million metric tons CO2
AK,2015,120.142812,million metric tons CO2
AK,2014,123.161802,million metric tons CO2
AK,2013,120.908517,million metric tons CO2
AK,2012,123.201027,million metric tons CO2
AK,2011,129.930038,million metric tons CO2
AK,2010,132.767419,million metric tons CO2
AK,2009,120.100202,million metric tons CO2
AK,2008,139.628142,million metric tons CO2
AK,2007,147.430252,million metric tons CO2
AK,2006,145.782018,million metric tons CO2
AK,2005,143.332446,million metric tons CO2
AK,2004,141.664798,million metric tons CO2
AK,2003,139.358938,million metric tons CO2
AK,2002,138.490682,million metric tons CO2
AK,2001,133.630128,million metric tons CO2
AK,2000,142.242532,million metric tons CO2
AK,1999,136.122518,million metric tons CO2
AK,1998,133.741224,million metric tons CO2
AK,1997,134.474292,million metric tons CO2
AK,1996,137.576151,million metric tons CO2
AK,1995,131.569883,million metric tons CO2
AK,1994,123.842036,million metric tons CO2
AK,1993,125.803445,million metric tons CO2
AK,1992,120.935042,million metric tons CO2
AK,1991,114.252069,million metric tons CO2
AK,1990,109.960946,million metric tons CO2
