State,Year,Total_renewable_energy,Renew_Unit
US,2016,8053314,Billion Btu
US,2015,7488974,Billion Btu
US,2014,7670927,Billion Btu
US,2013,7445307,Billion Btu
US,2012,6936925,Billion Btu
US,2011,7194676,Billion Btu
US,2010,6344556,Billion Btu
US,2009,6054468,Billion Btu
US,2008,5817151,Billion Btu
US,2007,5540051,Billion Btu
US,2006,5870434,Billion Btu
US,2005,5657879,Billion Btu
US,2004,5576869,Billion Btu
US,2003,5541011,Billion Btu
US,2002,5422726,Billion Btu
US,2001,4911635,Billion Btu
US,2000,5868518,Billion Btu
US,1999,6305710,Billion Btu
US,1998,6290261,Billion Btu
US,1997,6827986,Billion Btu
US,1996,6869580,Billion Btu
US,1995,6359549,Billion Btu
US,1994,5798744,Billion Btu
US,1993,5910288,Billion Btu
US,1992,5675531,Billion Btu
US,1991,5939774,Billion Btu
US,1990,5931015,Billion Btu
US,1989,6109275,Billion Btu
US,1988,5332696,Billion Btu
US,1987,5501774,Billion Btu
US,1986,6004041,Billion Btu
US,1985,5990866,Billion Btu
US,1984,6361045,Billion Btu
US,1983,6432469,Billion Btu
US,1982,5946525,Billion Btu
US,1981,5404432,Billion Btu
US,1980,5424534,Billion Btu
US,1979,5122854,Billion Btu
US,1978,5005439,Billion Btu
US,1977,4208966,Billion Btu
US,1976,4727151,Billion Btu
US,1975,4687119,Billion Btu
US,1974,4741851,Billion Btu
US,1973,4410938,Billion Btu
US,1972,4382009,Billion Btu
US,1971,4262212,Billion Btu
US,1970,4070021,Billion Btu
US,1969,4094893,Billion Btu
US,1968,3772655,Billion Btu
US,1967,3690213,Billion Btu
US,1966,3432463,Billion Btu
US,1965,3395816,Billion Btu
US,1964,3225249,Billion Btu
US,1963,3096431,Billion Btu
US,1962,3117444,Billion Btu
US,1961,2952227,Billion Btu
US,1960,2928205,Billion Btu
AL,2016,235494,Billion Btu
AL,2015,261340,Billion Btu
AL,2014,268551,Billion Btu
AL,2013,310608,Billion Btu
AL,2012,241822,Billion Btu
AL,2011,254867,Billion Btu
AL,2010,240913,Billion Btu
AL,2009,264487,Billion Btu
AL,2008,233379,Billion Btu
AL,2007,228160,Billion Btu
AL,2006,266153,Billion Btu
AL,2005,279600,Billion Btu
AL,2004,290697,Billion Btu
AL,2003,283428,Billion Btu
AL,2002,252689,Billion Btu
AL,2001,251523,Billion Btu
AL,2000,263303,Billion Btu
AL,1999,290195,Billion Btu
AL,1998,317065,Billion Btu
AL,1997,299675,Billion Btu
AL,1996,323372,Billion Btu
AL,1995,320101,Billion Btu
AL,1994,332532,Billion Btu
AL,1993,268147,Billion Btu
AL,1992,255014,Billion Btu
AL,1991,255590,Billion Btu
AL,1990,251667,Billion Btu
AL,1989,302389,Billion Btu
AL,1988,213088,Billion Btu
AL,1987,229572,Billion Btu
AL,1986,213815,Billion Btu
AL,1985,247353,Billion Btu
AL,1984,287856,Billion Btu
AL,1983,281940,Billion Btu
AL,1982,265453,Billion Btu
AL,1981,213355,Billion Btu
AL,1980,238766,Billion Btu
AL,1979,190737,Billion Btu
AL,1978,148341,Billion Btu
AL,1977,174751,Billion Btu
AL,1976,160994,Billion Btu
AL,1975,184701,Billion Btu
AL,1974,166734,Billion Btu
AL,1973,181706,Billion Btu
AL,1972,164946,Billion Btu
AL,1971,158182,Billion Btu
AL,1970,132471,Billion Btu
AL,1969,131856,Billion Btu
AL,1968,129673,Billion Btu
AL,1967,144384,Billion Btu
AL,1966,121238,Billion Btu
AL,1965,121888,Billion Btu
AL,1964,137992,Billion Btu
AL,1963,112682,Billion Btu
AL,1962,125564,Billion Btu
AL,1961,118021,Billion Btu
AL,1960,112809,Billion Btu
AK,2016,19428,Billion Btu
AK,2015,19209,Billion Btu
AK,2014,19826,Billion Btu
AK,2013,18664,Billion Btu
AK,2012,17719,Billion Btu
AK,2011,15762,Billion Btu
AK,2010,16537,Billion Btu
AK,2009,15685,Billion Btu
AK,2008,12913,Billion Btu
AK,2007,14037,Billion Btu
AK,2006,13298,Billion Btu
AK,2005,15866,Billion Btu
AK,2004,18416,Billion Btu
AK,2003,19374,Billion Btu
AK,2002,17922,Billion Btu
AK,2001,16974,Billion Btu
AK,2000,12204,Billion Btu
AK,1999,10212,Billion Btu
AK,1998,13291,Billion Btu
AK,1997,14994,Billion Btu
AK,1996,21187,Billion Btu
AK,1995,22506,Billion Btu
AK,1994,23587,Billion Btu
AK,1993,20551,Billion Btu
AK,1992,18300,Billion Btu
AK,1991,17357,Billion Btu
AK,1990,18357,Billion Btu
AK,1989,18342,Billion Btu
AK,1988,12759,Billion Btu
AK,1987,12000,Billion Btu
AK,1986,10706,Billion Btu
AK,1985,11783,Billion Btu
AK,1984,11152,Billion Btu
AK,1983,9591,Billion Btu
AK,1982,8745,Billion Btu
AK,1981,9216,Billion Btu
AK,1980,8321,Billion Btu
AK,1979,10733,Billion Btu
AK,1978,10809,Billion Btu
AK,1977,11449,Billion Btu
AK,1976,9201,Billion Btu
AK,1975,8608,Billion Btu
AK,1974,8329,Billion Btu
AK,1973,7844,Billion Btu
AK,1972,8673,Billion Btu
AK,1971,9094,Billion Btu
AK,1970,8835,Billion Btu
AK,1969,8455,Billion Btu
AK,1968,8486,Billion Btu
AK,1967,8457,Billion Btu
AK,1966,8328,Billion Btu
AK,1965,8519,Billion Btu
AK,1964,8102,Billion Btu
AK,1963,7793,Billion Btu
AK,1962,7453,Billion Btu
AK,1961,7313,Billion Btu
AK,1960,6800,Billion Btu
AZ,2016,130858,Billion Btu
AZ,2015,120715,Billion Btu
AZ,2014,114133,Billion Btu
AZ,2013,98874,Billion Btu
AZ,2012,93042,Billion Btu
AZ,2011,105082,Billion Btu
AZ,2010,77419,Billion Btu
AZ,2009,73117,Billion Btu
AZ,2008,88850,Billion Btu
AZ,2007,79355,Billion Btu
AZ,2006,80772,Billion Btu
AZ,2005,78333,Billion Btu
AZ,2004,81376,Billion Btu
AZ,2003,83079,Billion Btu
AZ,2002,86880,Billion Btu
AZ,2001,90513,Billion Btu
AZ,2000,100776,Billion Btu
AZ,1999,114876,Billion Btu
AZ,1998,126648,Billion Btu
AZ,1997,141607,Billion Btu
AZ,1996,112164,Billion Btu
AZ,1995,103931,Billion Btu
AZ,1994,93513,Billion Btu
AZ,1993,86666,Billion Btu
AZ,1992,87528,Billion Btu
AZ,1991,88774,Billion Btu
AZ,1990,94753,Billion Btu
AZ,1989,101497,Billion Btu
AZ,1988,98749,Billion Btu
AZ,1987,123114,Billion Btu
AZ,1986,175103,Billion Btu
AZ,1985,171680,Billion Btu
AZ,1984,188831,Billion Btu
AZ,1983,175993,Billion Btu
AZ,1982,94926,Billion Btu
AZ,1981,92565,Billion Btu
AZ,1980,120006,Billion Btu
AZ,1979,83414,Billion Btu
AZ,1978,79870,Billion Btu
AZ,1977,75681,Billion Btu
AZ,1976,84428,Billion Btu
AZ,1975,80897,Billion Btu
AZ,1974,82058,Billion Btu
AZ,1973,79348,Billion Btu
AZ,1972,75189,Billion Btu
AZ,1971,74136,Billion Btu
AZ,1970,68919,Billion Btu
AZ,1969,67840,Billion Btu
AZ,1968,63456,Billion Btu
AZ,1967,56423,Billion Btu
AZ,1966,58060,Billion Btu
AZ,1965,50095,Billion Btu
AZ,1964,34271,Billion Btu
AZ,1963,34861,Billion Btu
AZ,1962,34533,Billion Btu
AZ,1961,35083,Billion Btu
AZ,1960,36181,Billion Btu
AR,2016,117959,Billion Btu
AR,2015,115780,Billion Btu
AR,2014,116541,Billion Btu
AR,2013,116746,Billion Btu
AR,2012,111220,Billion Btu
AR,2011,119758,Billion Btu
AR,2010,123317,Billion Btu
AR,2009,124205,Billion Btu
AR,2008,123354,Billion Btu
AR,2007,120733,Billion Btu
AR,2006,99990,Billion Btu
AR,2005,112451,Billion Btu
AR,2004,112915,Billion Btu
AR,2003,107905,Billion Btu
AR,2002,108618,Billion Btu
AR,2001,94001,Billion Btu
AR,2000,108634,Billion Btu
AR,1999,110822,Billion Btu
AR,1998,114927,Billion Btu
AR,1997,124045,Billion Btu
AR,1996,118017,Billion Btu
AR,1995,117474,Billion Btu
AR,1994,119581,Billion Btu
AR,1993,133646,Billion Btu
AR,1992,112587,Billion Btu
AR,1991,109823,Billion Btu
AR,1990,109997,Billion Btu
AR,1989,119759,Billion Btu
AR,1988,92546,Billion Btu
AR,1987,86688,Billion Btu
AR,1986,91234,Billion Btu
AR,1985,109186,Billion Btu
AR,1984,91421,Billion Btu
AR,1983,95310,Billion Btu
AR,1982,77582,Billion Btu
AR,1981,68190,Billion Btu
AR,1980,69996,Billion Btu
AR,1979,80773,Billion Btu
AR,1978,77088,Billion Btu
AR,1977,69746,Billion Btu
AR,1976,62300,Billion Btu
AR,1975,71589,Billion Btu
AR,1974,81339,Billion Btu
AR,1973,81723,Billion Btu
AR,1972,53917,Billion Btu
AR,1971,53579,Billion Btu
AR,1970,56933,Billion Btu
AR,1969,64813,Billion Btu
AR,1968,64986,Billion Btu
AR,1967,46124,Billion Btu
AR,1966,51697,Billion Btu
AR,1965,46425,Billion Btu
AR,1964,42732,Billion Btu
AR,1963,41897,Billion Btu
AR,1962,47637,Billion Btu
AR,1961,51144,Billion Btu
AR,1960,48104,Billion Btu
CA,2016,903915,Billion Btu
CA,2015,719166,Billion Btu
CA,2014,721739,Billion Btu
CA,2013,719604,Billion Btu
CA,2012,677346,Billion Btu
CA,2011,806477,Billion Btu
CA,2010,697991,Billion Btu
CA,2009,639651,Billion Btu
CA,2008,590479,Billion Btu
CA,2007,619334,Billion Btu
CA,2006,816337,Billion Btu
CA,2005,738900,Billion Btu
CA,2004,696234,Billion Btu
CA,2003,718110,Billion Btu
CA,2002,675131,Billion Btu
CA,2001,607234,Billion Btu
CA,2000,735871,Billion Btu
CA,1999,759406,Billion Btu
CA,1998,832334,Billion Btu
CA,1997,759731,Billion Btu
CA,1996,817419,Billion Btu
CA,1995,845444,Billion Btu
CA,1994,632831,Billion Btu
CA,1993,820084,Billion Btu
CA,1992,641630,Billion Btu
CA,1991,652884,Billion Btu
CA,1990,668788,Billion Btu
CA,1989,738278,Billion Btu
CA,1988,511430,Billion Btu
CA,1987,522006,Billion Btu
CA,1986,666370,Billion Btu
CA,1985,592910,Billion Btu
CA,1984,693614,Billion Btu
