State,Year,Total_co2_emission,CO2_Unit
US,2016,5160.99085,million metric tons CO2
US,2015,5207.386647,million metric tons CO2
US,2014,5350.26544,million metric tons CO2
US,2013,5301.451176,million metric tons CO2
US,2012,5162.563034,million metric tons CO2
US,2011,5382.449527,million metric tons CO2
US,2010,5514.297402,million metric tons CO2
US,2009,5313.844121,million metric tons CO2
US,2008,5726.287029,million metric tons CO2
US,2007,5919.121363,million metric tons CO2
US,2006,5822.296551,million metric tons CO2
US,2005,5893.552285,million metric tons CO2
US,2004,5873.565342,million metric tons CO2
US,2003,5777.692218,million metric tons CO2
US,2002,5725.245815,million metric tons CO2
US,2001,5685.468162,million metric tons CO2
US,2000,5797.902868,million metric tons CO2
US,1999,5606.000407,million metric tons CO2
US,1998,5562.034442,million metric tons CO2
US,1997,5540.323209,million metric tons CO2
US,1996,5453.25905,million metric tons CO2
US,1995,5268.504798,million metric tons CO2
US,1994,5207.495855,million metric tons CO2
US,1993,5133.153584,million metric tons CO2
US,1992,5015.360229,million metric tons CO2
US,1991,4940.382389,million metric tons CO2
US,1990,4986.998273,million metric tons CO2
US,1989,5022.582146,million metric tons CO2
US,1988,4945.244594,million metric tons CO2
US,1987,4716.745023,million metric tons CO2
US,1986,4569.640248,million metric tons CO2
US,1985,4566.098059,million metric tons CO2
US,1984,4565.449871,million metric tons CO2
US,1983,4361.64536,million metric tons CO2
US,1982,4377.203602,million metric tons CO2
US,1981,4620.363885,million metric tons CO2
US,1980,4768.019214,million metric tons CO2
AL,2016,115.088298,million metric tons CO2
AL,2015,120.142812,million metric tons CO2
AL,2014,123.161802,million metric tons CO2
AL,2013,120.908517,million metric tons CO2
AL,2012,123.201027,million metric tons CO2
AL,2011,129.930038,million metric tons CO2
AL,2010,132.767419,million metric tons CO2
AL,2009,120.100202,million metric tons CO2
AL,2008,139.628142,million metric tons CO2
AL,2007,147.430252,million metric tons CO2
AL,2006,145.782018,million metric tons CO2
AL,2005,143.332446,million metric tons CO2
AL,2004,141.664798,million metric tons CO2
AL,2003,139.358938,million metric tons CO2
AL,2002,138.490682,million metric tons CO2
AL,2001,133.630128,million metric tons CO2
AL,2000,142.242532,million metric tons CO2
AL,1999,136.122518,million metric tons CO2
AL,1998,133.741224,million metric tons CO2
AL,1997,134.474292,million metric tons CO2
AL,1996,137.576151,million metric tons CO2
AL,1995,131.569883,million metric tons CO2
AL,1994,123.842036,million metric tons CO2
AL,1993,125.803445,million metric tons CO2
AL,1992,120.935042,million metric tons CO2
AL,1991,114.252069,million metric tons CO2
AL,1990,109.960946,million metric tons CO2
AL,1989,110.071681,million metric tons CO2
AL,1988,104.613623,million metric tons CO2
AL,1987,103.247542,million metric tons CO2
AL,1986,101.305673,million metric tons CO2
AL,1985,100.906704,million metric tons CO2
AL,1984,94.674537,million metric tons CO2
AL,1983,89.55813,million metric tons CO2
AL,1982,90.38386,million metric tons CO2
AL,1981,102.809002,million metric tons CO2
AL,1980,106.72826,million metric tons CO2
AK,2016,34.909446,million metric tons CO2
AK,2015,36.232439,million metric tons CO2
AK,2014,35.339307,million metric tons CO2
AK,2013,36.179222,million metric tons CO2
AK,2012,38.235964,million metric tons CO2
AK,2011,38.793915,million metric tons CO2
AK,2010,38.924047,million metric tons CO2
AK,2009,38.003626,million metric tons CO2
AK,2008,39.635789,million metric tons CO2
AK,2007,44.227313,million metric tons CO2
AK,2006,45.93318,million metric tons CO2
AK,2005,48.215328,million metric tons CO2
AK,2004,46.857059,million metric tons CO2
AK,2003,43.731458,million metric tons CO2
AK,2002,43.65497,million metric tons CO2
AK,2001,43.503252,million metric tons CO2
AK,2000,44.395048,million metric tons CO2
AK,1999,43.723639,million metric tons CO2
